log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
2016-06-27,161856895250555916,,A,item_id,,population,item_id,select,
2016-06-27,161856895250555916,,A,item_id,access_views,dw_attr_lstg_dtl,item_id,join,
2016-06-27,161856895250555916,,A,item_id,,population,item_id,join,
2016-06-27,161856895250555916,,A,item_id,access_views,dw_attr_lstg_dtl,auct_end_dt,join,
2016-06-27,161856895250555916,,A,PRDCT_ASPCT_TYPE,access_views,dw_attr_lstg_dtl,lstg_attr_id,select,
2016-06-27,161856895250555916,,A,PRDCT_ASPCT_TYPE,access_views,dw_attr_lstg_dtl,item_id,join,
2016-06-27,161856895250555916,,A,PRDCT_ASPCT_TYPE,,population,item_id,join,
2016-06-27,161856895250555916,,A,PRDCT_ASPCT_TYPE,access_views,dw_attr_lstg_dtl,auct_end_dt,join,
2016-06-27,161856895250555916,,A,ASPCT_VLU_NM,access_views,dw_attr_lstg_dtl,value_desc,select,
2016-06-27,161856895250555916,,A,ASPCT_VLU_NM,access_views,dw_attr_lstg_dtl,item_id,join,
2016-06-27,161856895250555916,,A,ASPCT_VLU_NM,,population,item_id,join,
2016-06-27,161856895250555916,,A,ASPCT_VLU_NM,access_views,dw_attr_lstg_dtl,auct_end_dt,join,
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,user_id,p_eu_xchan_t,vf_epn,user_id,select,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,user_id,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,user_id,prs_ams_v,ams_pblshr,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,user_id,p_eu_xchan_t,vf_epn,pub_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,user_id,p_eu_xchan_t,vf_epn,camp_id,join,
